background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,21.615,0.179,0.109,0.543,5
0,20.906,-1.331,0.124,0.671,6
1,29.899,-3.525,0.082,0.831,2
0,27.252,-1.185,0.058,0.914,3
1,27.381,-2.583,0.095,0.656,5
1,51.493,-3.011,0.043,0.665,4
0,28.609,2.665,0.078,0.699,3
0,27.052,3.171,0.101,0.677,3
0,33.028,-1.298,0.073,0.559,5
0,23.683,1.168,0.103,0.627,7
1,23.083,-2.558,0.11,0.654,3
0,29.316,-2.655,0.053,0.932,2
0,26.47,-1.195,0.079,0.662,5
1,40.291,3.374,0.059,0.831,2
1,52.131,-3.055,0.042,0.768,3
0,21.69,0.989,0.111,0.476,6
0,22.421,1.441,0.093,0.452,6
0,20.953,-0.554,0.111,0.398,8
