background/signal,pT GeV,y,mass GeV,width,ptD,#of constituents
 0,    33.411,     1.153,     5.317,     0.135,     0.498,   12
 0,    22.023,    -1.365,     5.343,     0.220,     0.270,   18
 0,    22.641,    -0.102,     5.570,     0.238,     0.285,   20
 0,    25.112,     2.363,     5.529,     0.209,     0.321,   17
 0,    22.682,     0.813,     4.304,     0.158,     0.314,   15
 0,    26.738,    -0.125,     5.599,     0.193,     0.321,   14
 0,    33.873,    -2.840,     5.421,     0.137,     0.483,    7
 0,    40.088,    -4.396,     7.839,     0.193,     0.710,    2
 0,    22.640,    -4.108,     5.063,     0.196,     0.616,    3
 0,    22.336,     2.987,     3.166,     0.139,     0.582,    3
 0,   313.898,    -0.833,    20.338,     0.020,     0.944,    9
 0,   279.925,     0.930,    25.596,     0.036,     0.904,   14
 0,    44.889,     0.897,    13.145,     0.269,     0.249,   32
 0,    45.325,    -1.982,    10.311,     0.208,     0.255,   25
 0,    31.376,    -0.845,     7.541,     0.220,     0.259,   21
 0,    24.993,     1.261,     5.389,     0.199,     0.275,   20
 1,    24.514,    -4.473,     0.000,     0.000,     1.000,    1
 1,   905.679,    -1.043,    27.027,     0.007,     0.977,    8
 1,    89.621,     2.870,    10.002,     0.111,     0.709,    2
 1,    60.194,    -3.145,     6.253,     0.057,     0.668,    3
 0,    23.681,    -3.871,     2.356,     0.053,     0.927,    2
 1,   295.192,    -1.098,    25.315,     0.026,     0.913,   11
 0,    57.859,    -0.134,    15.844,     0.253,     0.280,   24
 0,    23.687,     1.217,     5.365,     0.202,     0.250,   21
 0,    33.288,    -1.029,     8.085,     0.222,     0.327,   19
 1,    20.824,     3.428,     0.000,     0.000,     1.000,    1
 0,    21.577,    -2.936,     4.346,     0.196,     0.705,    3
 1,    62.650,     3.281,    14.960,     0.217,     0.501,    7
 0,    27.298,    -1.955,     5.887,     0.198,     0.264,   21
 0,    23.527,     0.693,     4.732,     0.178,     0.351,   12
 0,    21.938,     3.110,     2.842,     0.105,     0.635,    6
 0,   998.848,    -0.277,    38.774,     0.007,     0.984,   11
 0,    24.899,     1.133,     5.314,     0.165,     0.609,    9
