background/signal,pT GeV,mass GeV,width,ptD,#of constituents
0,29.777,3.692,0.111,0.623,3
0,21.185,2.094,0.077,0.835,2
0,21.484,1.454,0.059,0.787,2
1,163.477,9.461,0.03,0.701,3
0,20.646,1.366,0.063,0.736,2
0,26.759,3.279,0.109,0.773,2
0,22.303,4.379,0.173,0.694,3
1,190.158,11.085,0.04,0.639,3
0,25.666,5.1,0.182,0.59,3
1,97.341,5.221,0.052,0.728,2
1,91.593,13.331,0.122,0.767,3
0,37.924,2.87,0.063,0.615,3
0,38.865,3.115,0.072,0.768,2
1,67.687,14.08,0.193,0.422,6
1,28.569,0.0,0.0,1.0,1
1,76.667,9.823,0.082,0.67,3
1,168.439,13.868,0.034,0.956,2
1,134.601,0.0,0.0,1.0,1
0,30.327,2.789,0.087,0.744,2
0,23.517,3.135,0.122,0.631,3
1,42.005,8.251,0.171,0.513,4
1,77.35,9.792,0.113,0.772,2
1,44.635,6.092,0.116,0.798,2
0,21.984,3.469,0.138,0.783,2
0,28.229,4.975,0.169,0.603,3
1,55.309,0.0,0.0,1.0,1
0,33.363,4.555,0.13,0.733,2
0,24.59,4.033,0.141,0.644,4
0,20.129,4.411,0.215,0.596,3
1,41.226,0.0,0.0,1.0,1
1,30.28,2.217,0.07,0.735,2
0,20.324,0.543,0.021,0.833,2
1,38.252,4.654,0.115,0.742,2
1,75.398,3.839,0.033,0.868,3
1,142.697,8.406,0.039,0.805,3
1,70.417,0.0,0.0,1.0,1
0,40.508,5.421,0.124,0.539,4
1,105.95,24.105,0.214,0.429,6
0,20.162,0.0,0.0,1.0,1
0,22.372,0.0,0.0,1.0,1
0,24.603,2.647,0.09,0.679,3
1,89.235,0.0,0.0,1.0,1
0,21.128,0.301,0.012,0.784,2
1,127.08,0.0,0.0,1.0,1
0,21.249,0.0,0.0,1.0,1
0,20.377,2.61,0.12,0.746,2
1,79.591,11.715,0.115,0.528,5
0,37.39,2.961,0.056,0.791,3
0,24.655,2.73,0.104,0.521,4
1,21.422,0.997,0.044,0.746,2
0,36.798,0.0,0.0,1.0,1
1,157.813,14.863,0.064,0.788,3
0,21.34,2.012,0.056,0.909,2
0,25.352,4.46,0.173,0.716,2
1,34.273,4.378,0.073,0.854,3
1,22.687,1.806,0.055,0.873,2
1,81.401,10.655,0.112,0.68,4
1,87.093,8.719,0.074,0.736,3
1,159.311,7.649,0.014,0.979,2
1,109.648,7.158,0.06,0.633,4
0,21.066,2.48,0.114,0.728,2
1,42.865,4.06,0.073,0.614,4
0,27.732,2.711,0.093,0.634,3
0,27.027,3.718,0.125,0.764,2
1,169.067,14.211,0.044,0.841,3
1,58.39,7.088,0.093,0.573,5
0,34.006,0.691,0.02,0.707,2
0,28.533,4.552,0.137,0.789,2
1,55.026,0.0,0.0,1.0,1
1,71.262,9.265,0.123,0.536,4
1,244.585,20.336,0.059,0.681,6
0,39.106,8.052,0.199,0.479,5
1,31.135,3.456,0.109,0.638,3
1,179.134,28.634,0.138,0.514,6
0,20.643,1.014,0.047,0.736,2
0,24.143,2.728,0.111,0.583,3
0,21.862,1.695,0.077,0.708,2
0,22.02,3.598,0.159,0.586,3
0,20.559,0.0,0.0,1.0,1
1,88.1,4.117,0.031,0.641,3
0,31.331,4.309,0.136,0.713,2
1,58.087,1.123,0.019,0.707,2
0,35.257,6.138,0.161,0.607,3
1,69.677,7.171,0.068,0.557,5
1,132.732,9.755,0.03,0.889,3
1,43.264,1.24,0.029,0.709,2
1,96.37,7.65,0.059,0.837,3
1,66.694,0.0,0.0,1.0,1
0,26.102,0.0,0.0,1.0,1
1,81.008,8.013,0.07,0.727,5
0,43.009,7.691,0.153,0.491,5
0,42.377,9.64,0.21,0.487,5
0,33.39,5.321,0.155,0.601,3
1,120.639,1.302,0.011,0.709,2
1,93.142,2.051,0.013,0.905,2
1,44.65,2.327,0.05,0.664,3
0,24.438,0.825,0.034,0.707,2
1,56.548,11.888,0.199,0.564,4
0,20.693,0.0,0.0,1.0,1
0,28.302,0.0,0.0,1.0,1
0,41.427,4.491,0.102,0.597,3
0,24.327,4.398,0.15,0.521,4
0,20.134,0.0,0.0,1.0,1
1,41.298,2.336,0.039,0.87,2
0,22.111,4.185,0.185,0.603,3
0,29.559,5.765,0.175,0.526,4
1,110.384,10.329,0.075,0.691,4
0,45.785,4.293,0.09,0.591,3
1,46.652,1.559,0.033,0.716,2
0,20.216,3.071,0.126,0.806,2
0,29.285,5.51,0.175,0.563,4
0,27.519,4.441,0.159,0.714,2
1,293.283,29.918,0.056,0.838,3
1,32.672,4.626,0.135,0.736,2
1,75.52,10.957,0.098,0.626,5
0,28.84,0.0,0.0,1.0,1
1,28.732,3.456,0.08,0.882,2
0,29.603,5.154,0.159,0.635,3
0,29.83,3.514,0.109,0.679,3
0,21.764,0.0,0.0,1.0,1
0,23.125,4.583,0.196,0.63,3
0,36.15,5.564,0.142,0.529,4
0,20.239,0.0,0.0,1.0,1
1,75.273,13.247,0.164,0.541,4
1,101.936,15.2,0.142,0.476,6
0,32.477,6.201,0.157,0.561,4
0,31.905,1.862,0.041,0.869,2
1,95.375,17.458,0.154,0.467,6
0,20.275,2.588,0.12,0.746,2
0,29.974,1.538,0.043,0.803,2
1,88.168,8.482,0.061,0.758,4
0,30.447,4.954,0.142,0.784,2
1,80.291,11.956,0.11,0.632,5
1,91.057,4.2,0.039,0.8,2
1,56.034,10.067,0.158,0.599,4
1,221.193,0.0,0.0,1.0,1
1,139.889,25.678,0.158,0.45,7
0,38.769,6.237,0.149,0.519,4
0,21.85,0.0,0.0,1.0,1
0,20.63,2.748,0.118,0.78,2
1,129.341,16.364,0.079,0.783,4
1,458.094,40.789,0.056,0.614,7
1,27.568,3.978,0.107,0.615,3
0,20.535,2.872,0.133,0.737,2
0,24.098,4.212,0.168,0.61,3
0,35.623,6.502,0.168,0.619,3
0,27.802,2.674,0.095,0.713,2
0,32.946,3.597,0.105,0.59,3
0,20.336,1.981,0.094,0.731,2
1,238.723,43.329,0.166,0.726,3
0,26.207,0.558,0.019,0.781,2
1,87.026,1.464,0.012,0.864,2
0,26.719,5.316,0.197,0.708,2
1,20.068,2.289,0.114,0.707,2
0,65.71,14.523,0.2,0.396,7
1,92.828,5.624,0.04,0.882,2
1,43.643,0.0,0.0,1.0,1
1,336.307,20.052,0.042,0.656,6
0,29.322,3.836,0.125,0.735,2
0,22.153,3.935,0.171,0.727,2
1,51.522,2.111,0.037,0.668,3
1,40.514,7.651,0.162,0.491,5
1,108.53,1.033,0.007,0.842,2
1,40.815,0.0,0.0,1.0,1
0,57.22,11.84,0.194,0.484,5
